Time: 2024-11-09 21:22:01, GPIO 26 State: HIGH
Time: 2024-11-09 21:22:03, GPIO 26 State: LOW
Time: 2024-11-09 21:22:09, GPIO 26 State: HIGH
Time: 2024-11-09 21:22:11, GPIO 26 State: LOW
Time: 2024-11-09 21:22:16, GPIO 26 State: HIGH
Time: 2024-11-09 21:22:18, GPIO 26 State: LOW
Time: 2024-11-09 22:52:23, GPIO 26 State: HIGH
Time: 2024-11-09 22:52:28, GPIO 26 State: LOW
Time: 2024-11-09 22:52:32, GPIO 26 State: HIGH
Time: 2024-11-09 22:52:35, GPIO 26 State: LOW
